Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks,Monthly Revenue,Annual Burn Rate,Customer Acquisition Cost (CAC),Customer Lifetime Value (CLV),Active Users,Revenue Growth Rate (%),Funding Utilization (%),Profit Margin (%),Valuation at Funding,Operating Expenses
766,21/06/2017,mSwipe,Technology,Point-of-Sale services,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,"3,10,00,000",,3905901,13751154,56,4835,931192,-4.3%,65.7,-0.6%,329709939,1271778
767,21/06/2017,OneAssist,Consumer Internet,Credit card fraud protection,Mumbai,Sequoia Capital,Private Equity,,,3071125,7276817,147,1302,,,118.8,-2.4%,75285446,150704
768,22/06/2017,Julia Computing,Technology,Open Source Language for Data Science and Machine Learning,Bangalore,"General Catalyst, Founder Collective",Private Equity,"46,00,000",,2407260,1893353,155,2432,620783,41.3,,30.0%,320570566,1020776
769,22/06/2017,Kissht,Consumer Internet,Consumer Lending platform,Mumbai,"Endiya Partners, Ventureast",Private Equity,"20,00,000",,716842,8297544,300,121,1584738,3.1%,118.5,10.0,318076065,664673
770,22/06/2017,Explore Life traveling,Consumer Internet,Local homes booking platform,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,"5,00,000",,1894270,13894224,394,4496,315438,-14.3,59.6%,,403067823,
771,23/06/2017,Loantap,Consumer Internet,Lending platform for salaried professionals,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,"40,00,000",,3266552,6733459,433,2571,1919912,3.7,28.7%,,"467,952,032",20593
772,23/06/2017,Voxweb,Consumer Internet,Mobile based social networking platform,Mumbai,Undisclosed investors,Seed Funding,"10,00,000",,4933425,12112053,263,4854,,-16.5%,116.5%,21.8,18024382,1794511
773,26/06/2017,HUG Innovations,Technology,Gesture based\\xc2\\xa0 Smartwatch manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,"50,00,000",,44355,8818190,185,1897,1199650,38.7,106.5,6.2,422592757,20884
774,26/06/2017,Flipkart,eCommerce,Online marketplace,Bangalore,Naspers,Private Equity,"7,10,00,000",,3594445,6817170,207,346,97516,13.7%,76.3,-21.9%,301435183,1101225
775,26/06/2017,V Resorts,Consumer Internet,Holiday & Vacation resort aggregator,Noida,"Seedfund, RB International",Private Equity,"40,00,000",,4234757,5174881,369,3407,1457715,-2.6%,43.0,49.8%,447073249,144945
776,27/06/2017,Stashfin,Consumer Internet,Personal Finance App,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,"50,00,000",,4756949,5288646,162,857,1408756,0.8,93.9,13.0,198134229,774067
777,27/06/2017,Formcept,Consumer Internet,Unified Data Analysis platform,Bangalore,Gujarat Venture Finance Ltd,Private Equity,,,"2,130,542",5188583,210,3095,1242920,-11.6,21.9,-9.5%,308545910,824324
778,27/06/2017,Spares Hub,eCommerce,Automobile parts marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,"3,11,000",,610023,14403339,394,222,560433,32.2,111.4,20.0%,88298304,1212812
779,28/06/2017,FiTraQ,Consumer Internet,Fitness Centre Discovery Platform,New Delhi,"Aparup Sengupta, Devendra Reddy,",Seed Funding,,,1369416,6812925,273,,860612,48.7,89.7,35.8,39508785,673793
780,28/06/2017,Rubique,Consumer Internet,Online Marketplace for financial products,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,"30,00,000",,4255657,14853091,236,3207,830363,-17.9%,37.6,-11.2%,24204869,1821469
781,28/06/2017,Niki.ai,Consumer Internet,AI Based Personal Assistant,Bangalore,"SAP.iO, Unilazer Ventures",Private Equity,"20,00,000",,4392115,6290104,368,3385,1219392,32.9,36.5%,11.3,8999972,852072
782,29/06/2017,Fitpass,Consumer Internet,Online Fitness Marketplace,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,"10,00,000",,3192627,6611396,147,804,662260,7.1%,25.8,36.0,231668390,1784199
783,29/06/2017,ZingHR,Technology,"digital employee solutions,",Mumbai,Zeta,Private Equity,,,631247,18492287,34,977,801405,37.3,97.0,14.1,,737856
784,30/06/2017,Tagos Design,Technology,in-video discovery platform,Bangalore,Undisclosed Investors,Private Equity,"50,00,000",,627169,17536919,395,4299,,-24.7,32.8%,23.9,,1350348
785,30/06/2017,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,"2,10,00,000",,2401297,8074006,230,79,907333,16.5%,72.0%,3.4,308352341,159315
786,01/05/2017,Ace2three,Consumer Internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,"7,37,00,000",,2949524,5449661,166,1188,1188963,3.8,55.8%,-29.3,453247487,691037
787,01/05/2017,Power2SME,eCommerce,Buying portal for SMEs,Gurgaon,International Finance Corporation,Private Equity,"1,00,00,000",,181245,14340967,52,4852,1000000000,25.2,74.9%,3.7,462775255,"1,215,852"
788,02/05/2017,Innovapptive,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Funding,"15,00,000",,3436759,"1,490,302",463,2760,1889868,13.2,89.5,-4.0,293786312,695012
789,02/05/2017,4tigo,Logistics,Truck Network company,Bangalore,"Accel Partners, Nandan Nilekani,",Private Equity,"1,00,00,000",,2731659,9183412,363,183,1127762,12.4,41.0%,7.3,197415210,663281
790,02/05/2017,SMECorner,Consumer Internet,Online Platform for small business loans,Mumbai,Dutch government fund,Private Equity,,,81267,12037370,140,4468,530409,9.9,40.0,,208187258,938377
791,02/05/2017,ZippServe,Consumer Internet,Real estate risk assessment platform,Bangalore,undisclosed investors,Seed Funding,"3,90,000",,496474,13547972,305,,200911,43.2,53.8,14.3%,313594428,1076809
792,03/05/2017,Ola,Consumer Internet,Cab Aggregation App,Bangalore,"Falcon Edge Capital,\\xc2\\xa0 Capital Advisers",Private Equity,"10,45,00,000",,2282503,2230704,234,3590,1719861,8.5%,113.5%,1.3,454341613,922944
793,03/05/2017,Sumeru,Technology,Software & Mobile development services,Bangalore,undisclosed investors,Seed Funding,"10,00,000",,3618475,159631,166,,1047578,29.3%,64.4,30.2%,267038600,1604282
794,04/05/2017,Healthians,Consumer Internet,Online Diagnostics and wellness platform,New Delhi,"Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners",Private Equity,,,,5605614,159,1866,1132746,24.6%,45.7,25.4%,201493799,1147107
795,05/05/2017,HealthMir,Consumer Internet,AI-based health content platform,New Delhi,Nimit Panigrahi,Seed Funding,,,2167881,"2,472,931",42,1883,1906525,29.8,72.0,-13.1,118384633,1822173
796,05/05/2017,Uactive,Consumer Internet,Health-based social networking & discovery App,Mumbai,Hinduja family,Seed Funding,,,1490887,10193009,487,2773,742641,-8.3,38.0,41.4,47877530,417068
797,05/05/2017,i-lend,Consumer Internet,Peer-to-peer lending platform,Hyderabad,50K Ventures,Seed Funding,,,4842185,18398123,463,1936,200175,26.1,96.5%,-8.1,399592751,1747283
798,05/05/2017,Good Methods Global,Technology,Cloud Based Practice Management Software,Trivandrum,Accel Partners,Private Equity,,,2303569,5798556,435,911,1346850,18.7,51.9,-18.1,186898039,668380
799,05/05/2017,Balance App,Consumer Internet,Money Savings & Management App,Bangalore,Rainmatter,Seed Funding,"2,33,000",,1590640,9128801,160,3627,1942377,-11.8,118.3,36.4%,420922378,738681
800,08/05/2017,YepMe,eCommerce,Private Label Fashion etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,"7,00,000",,2222724,4378427,498,3387,340079,7.8%,83.0%,-4.8%,382396372,
801,08/05/2017,Nightstay,Consumer Internet,Last minute hotel booking mobile app,New Delhi,"Indian Angels Network, LetsVenture",Seed Funding,,,80216,975138,141,3030,1975281,57.9,81.2%,12.4,,361186
802,08/05/2017,Devourin,Technology,Restaurant Automation Solution,Pune,Deepak Nathani,Seed Funding,,,1523598,14093389,413,3721,1082223,4.2,49.1,-22.2,334440464,1799570
803,08/05/2017,MyGreens,Food & Beverage,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Seed Funding,"10,00,000",,2587461,5202328,54,2615,1121470,4.6,37.8,0.8,13465797,1123263
804,08/05/2017,Ace Turtle,Technology,Omni-Channel Platform,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,"50,00,000",,4593840,10985286,158,4645,1919466,21.0,27.8%,7.1,237484928,1179307
805,08/05/2017,CureFit,Technology,Health-Tech Platform,Bangalore,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,"32,00,000",,3696365,13693537,290,4437,664944,1.2,105.6,0.2,,1745365
806,09/05/2017,Curie Labs,Technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Funding,"50,000",,3910844,16811248,484,4906,1490779,14.8,118.0,-2.8,495673073,1122638
807,09/05/2017,Uncanny Vision,Technology,Computer Vision on Embedded Systems,Bangalore,Anand Chandrasekaran,Seed Funding,,,,3792898,136,,17368,3.0%,41.5,11.0,379467514,1613395
808,09/05/2017,Anchanto,Technology,Ecommerce Fulfilment and Technology Platform,Pune,Luxasia Group,Private Equity,,,570730,11666667,219,554,1342813,20.0,119.3,34.8,149584500,538385
809,09/05/2017,Sequretek,Technology,IT Security & Data Management Services,Mumbai,"GVFL, Unicorn India Ventures",Private Equity,,,1966813,18224213,422,,31108,10.8%,81.6,-13.5,287415715,918607
810,10/05/2017,Lucideus,Technology,Cyber Security Startup,New Delhi,"Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan,\\xc2\\xa0 Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others",Seed Funding,,,4985232,9720599,238,3478,8434,51.0,98.7,-53.2,366720881,454634
811,10/05/2017,Vidooly,Consumer Internet,Video Intelligence platform,Noida,"Times Internet, GVFL",Private Equity,"14,00,000",,239971,,,,776251,12.9%,118.8%,41.0,423591718,1552161
812,10/05/2017,Shopclues,eCommerce,Online marketplace,Gurgaon,InnoVen Capital,Private Equity,"77,00,000",,4398416,5299001,212,620,745282,7.5,117.5%,-6.5%,55758974,1808196
813,10/05/2017,Fourth Ambit,Consumer Internet,Community Building platform,Bangalore,1Crowd,Seed Funding,"6,00,000",,3428788,15915396,6,232,1566165,32.6,76.8%,-4.3,463766457,379112
814,10/05/2017,Chymera VR,Technology,Advertising Platform for Virtual Reality,Bangalore,"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others",Seed Funding,,,1433864,15862110,145,2796,1783055,-15.8%,72.7%,-3.6,226110973,1859977
815,11/05/2017,Early Salary,Consumer Internet,Online lending platform,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,"40,00,000",,3894383,6358419,285,,1884752,45.8%,87.6%,-23.2,449283500,60724
816,11/05/2017,Book My Diamond,eCommerce,Diamond B2B eTailer,Mumbai,Chirag Nikunj Sheth & Others,Seed Funding,,,4187744,4017733,14,,1246779,-7.8,42.0,0.1%,389198148,1587107
817,11/05/2017,ION Energy,Technology,Clean Tech Startup,Mumbai,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",Seed Funding,,,235231,5906244,119,3683,309641,35.8,58.9,3.0,262333449,1827768
818,12/05/2017,Legal Raasta,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,"50,00,000",,549969,4920345,476,306,1341441,41.1,102.8,20.9%,239337547,1595172
819,12/05/2017,Log 9 Materials,Technology,NanoTech product developer,Bangalore,GEMs,Seed Funding,,,3335433,14845255,12,1120,975556,1.5,31.0%,-3.7,138718145,1899412
820,12/05/2017,Remit Guru,Consumer Internet,Digital money transfer platform,Mumbai,"Infibeam, CCavenue",Private Equity,"4,66,000",,4995541,16847613,127,3417,1058510,3.4,65.9,-51.0,,1764446
821,12/05/2017,Aequm,eCommerce,Cloud ECommerce platform,Bangalore,undisclosed investors,Seed Funding,"10,00,000",,139353,1027351,311,2042,1003501,9.8,51.6,-23.4%,147681191,1455358
822,15/05/2017,Zapty,Technology,Project Management tool,Bangalore,IdeaSpring Capital,Seed Funding,"5,00,000",,3335109,14849731,283,181,1765884,24.4,78.3,37.9,239155471,377914
823,15/05/2017,Vernacular.ai,Technology,Multi-lingual AI Platform for Businesses,Bangalore,Kstart Capital,Seed Funding,,,699892,15073897,106,1168,760668,-8.0,38.9,-11.0%,118649561,681362
824,16/05/2017,Niki.ai,Technology,AI-based chatbot,Bangalore,SAP,Private Equity,,,3257622,12296182,34,3976,1928694,9.8,112.8%,23.6,435631270,395936
825,16/05/2017,Telr,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,"30,00,000",,3124108,17438755,450,3440,"1,079,958",5.7,99.2%,-7.8,287651516,176946
826,16/05/2017,Fynd,eCommerce,Fashion ECommerce Portal,Mumbai,Rocketship,Private Equity,"5,00,000",,"470,394",874518,277,4056,1375743,-11.0%,28.1%,30.3,1117595,953173
827,17/05/2017,Genie,Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,undisclosed investors,Seed Funding,"2,50,000",,3410025,14025069,288,1784,1000000000,-8.9,52.6,12.5,371741342,"79,276"
828,17/05/2017,Paysense,Consumer Internet,Online Lending platform,Mumbai,Jungle Ventures,Private Equity,"53,00,000",,4487226,2632426,33,4647,"1,629,105",14.6%,24.3,-26.3%,480568082,360241
829,18/05/2017,The Good Life,ECommerce,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,"10,00,000",,4319949,17950420,108,4603,"877,114",14.2%,32.3%,-19.3,474582999,58361
830,18/05/2017,PumpKart,eCommerce,Online Water Pumps etailer,Chandigarh,Dr. Ritesh Malik,Seed Funding,,,164417,10049153,41,1869,408523,-3.3,62.4,-27.2,26719721,1549949
831,18/05/2017,Paytm,ECommerce,Mobile Wallet & ECommerce platform,Bangalore,SoftBank Group,Private Equity,"1,40,00,00,000",,1244664,1908184,489,,"275,645",13.6,52.9,32.8%,346359480,593960
832,19/05/2017,EzCred,Consumer Internet,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,"10,00,000",,1219323,14952144,386,4810,727580,-0.9,72.1%,-21.5,238368725,"1,669,016"
833,19/05/2017,HealthSutra,Food & Beverage,Health Food Maker,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed Funding,,,2277395,15009451,275,1781,1330932,38.1,49.1%,0.8,32953285,546313
834,20/05/2017,YepMe,eCommerce,Private Fashion Brand etailer,New Delhi,Gokaldas Exports Ltd,Private Equity,,,732248,9335607,342,2505,1597039,9.9,53.2,,394547469,1184423
835,22/05/2017,Delhivery,Logistics,ECommerce Logistics provider,New Delhi,Fosun International,Private Equity,"3,00,00,000",,,6277417,86,"4,662",62845,34.0%,115.8,15.6,314879928,523712
836,22/05/2017,ZipGrid,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed Funding,"5,00,000",,3888304,444131,494,1381,924150,-21.9%,107.5,-1.5,130708607,1164124
837,23/05/2017,TravelSpice,ECommerce,Travel ECommerce portal,Hyderabad,Eagle10 Ventures,Seed Funding,,,4045581,18168466,261,4429,1880236,18.5%,21.3,-29.4,252780538,1772380
838,23/05/2017,Magicpin,Consumer Internet,Hyperlocal discovery platform,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,"66,00,000",,1007057,3766972,260,845,,23.9%,80.2,,176003385,768940
839,23/05/2017,The Print,Consumer Internet,News Portal,New Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,,,92571,16869579,479,1501,1879781,9.2,34.2,-16.3,,355155
840,23/05/2017,Box8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,"10,00,000",,4554978,11816457,52,1972,,1.2,98.9%,-56.2,214137872,529409
841,24/05/2017,GenNext Students,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,"5,80,000",,1458763,13735540,214,2441,184375,8.9,103.6,20.8,296838924,244913
842,25/05/2017,Aye Finance,Finance,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,"80,00,000",,3288219,13914919,48,1253,1362097,26.8,86.0,22.6%,,1454167
843,26/05/2017,WhatsLoan,Consumer Internet,Online Lending mobile app,Bangalore,Lahiri Music\\xe2\\x80\\x99s family office,Seed Funding,,,4548993,17176000,215,4424,,-12.2%,87.3%,-16.8,336682117,
844,29/05/2017,Cube Consumer Services,Consumer Internet,Finance management Mobile app,Mumbai,,Seed Funding,,,200090,765223,137,"3,340",954621,26.0%,105.1,42.6%,245990123,964860
845,29/05/2017,Nivesh,Consumer Internet,Online MF investment platform,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Funding,,,47257,19824557,233,3369,1594800,18.4,30.2,7.3%,279792890,1561517
846,29/05/2017,Wowflux,Technology,image Processing solution,New Delhi,Undisclosed Investors,Seed Funding,,,47040,962301,352,3672,1869104,6.8%,90.8,31.2,"72,843,380",1134225
847,29/05/2017,Collateral Medical,eCommerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,"35,00,000",,798502,19981362,143,3204,929210,7.6,32.0,29.4,77037079,950061
848,30/05/2017,Loadshare,Logistics,Express Logistics Network,Bangalore,Matrix Partners,Seed Funding,,,,5300071,30,3235,1297389,13.2%,24.2,6.6%,270025374,274840
849,30/05/2017,SimpliLend,Consumer Internet,Online lending platform,New Delhi,Undisclosed Investors,Seed Funding,,,4103504,16932428,85,3319,957595,45.2,83.9,-40.7%,317706996,"1,335,000"
850,30/05/2017,Supr Daily,Consumer Internet,Subscription based delivery platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,"15,00,000",,,1761683,359,3616,1271576,19.0,47.2%,15.0,316763799,786389
851,30/05/2017,Swiggy,Consumer Internet,Online food delivery platform,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,"8,00,00,000",,4900632,9272383,291,4608,1940402,-6.9,24.6,23.2,12902150,1308341
852,31/05/2017,SastaSundar,eCommerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,"50,00,000",,4011379,10884730,489,"1,022",1622940,3.3,26.3%,-6.3,237094697,78422
853,31/05/2017,Magicpin,Consumer Internet,Hyperlocal Discovery\\xc2\\xa0 & Rewards platform,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,"70,00,000",,4816675,19091063,447,2610,461093,,118.0,14.0%,80136648,314002
854,01/04/2017,Cashe,Consumer Internet,Online & Mobile based Lending platform,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,"38,00,000",,1207993,2561669,84,962,1733705,-25.8%,42.3%,9.3%,399205786,1820534
855,03/04/2017,Eruditus,Education,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,"82,00,000",,1453241,825970,369,949,1052667,-11.2,60.8%,-13.8%,479758681,1484661
856,03/04/2017,TestBook,Consumer Internet,Online Test Preparation Platform,Mumbai,Matrix Partners India,Private Equity,,,4250056,12999564,49,4751,,14.4,46.7%,7.5,245176061,1216902
857,03/04/2017,Healthcare at Home,Healthcare,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,"4,00,00,000",,,1079945,52,2389,230024,37.5,113.5,-2.7,248187298,249852
858,03/04/2017,Tyre Express,Technology,Enterprise IoT solutions For Tyre Performance,Mumbai,Rohitash Gupta,Seed Funding,,,305015,15566783,397,3535,889938,,27.4%,19.4%,295485992,1147295
859,03/04/2017,SmartCoin,Consumer Internet,Micro Lending platform,Bangalore,Unicorn India Ventures & Others,Private Equity,,,3352268,862704,203,3657,604950,-11.1%,74.3,-4.8,27480871,1428434
860,04/04/2017,WayCool,Food & Beverage,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Private Equity,"27,00,000",,4008799,19413281,498,207,175875,-4.0,67.8%,-7.8,169930310,"1,572,399"
861,04/04/2017,Perfios,Technology,Fin-Tech Solutions,Bangalore,Bessemer Venture Partners,Private Equity,"61,00,000",,4841617,10700925,7,2486,1701823,-6.8,89.2,-30.9,157379189,1847599
862,04/04/2017,Whatfix,Technology,Interactive Tech-Support Guides,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,"36,90,000",,4640421,18973298,253,942,258363,-39.6,109.8,65.2%,283259352,1706627
863,04/04/2017,ElastiRun,Technology,App based Logistics & Distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,"70,00,000",,618748,2620273,157,1600,1432925,8.6,20.0,-1.3,78471117,240413
864,04/04/2017,Trukky,Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,"5,00,000",,3865099,5539966,492,981,"1,490,114",28.1,21.7,-18.3,19421979,693988
865,04/04/2017,Konsult App,Consumer Internet,App based Doctor Consulting platform,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,"5,00,000",,,9152175,336,3348,1224046,7.0,57.7%,25.1,170742025,261616
866,05/04/2017,Credit Sudhaar,Consumer Internet,Credit Score Improvement platform,Mumbai,"Deepak Kulkarni, Sandeep Pangal",Seed Funding,,,3496641,685251,387,703,1680599,-13.4%,60.2,14.7,352360158,316629
867,05/04/2017,Fingerlix,Consumer Internet,Food Delivery Platform,Mumbai,Zephyr Peacock India,Private Equity,"30,00,000",,4102602,2148265,148,2278,227865,-4.9,109.0,23.7,451990444,1976347
868,05/04/2017,DataWeave,Technology,Business Intelligence Solutions,Bangalore,"FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures",Private Equity,,,4193141,"6,655,303",447,1563,,5.4,47.9,26.4,342753193,"835,468"
869,06/04/2017,Medwell Ventures,Healthcare,Home-Based Healthcare provider,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,"2,10,00,000",,2243819,14767163,421,4815,1701412,27.4,104.8,37.4,,1943201
870,06/04/2017,Mech Mocha,Consumer Internet,Mobile gaming startup,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,"50,00,000",,219953,14198754,393,,366568,8.3%,28.9%,,1000000000,1953048
871,07/04/2017,Startup Buddy,Consumer Internet,Startup Support Platform,Gurgaon,"YouWeCan Ventures,",Seed Funding,,,,1827491,241,1793,,24.7,27.7,13.7,401897953,978818
872,07/04/2017,QorQI,Healthcare,Online Healthcare provider,Noida,Paytm,Seed Funding,,,1024874,1290044,461,1502,1379699,10.4%,94.5,-29.5,446924719,1166871
873,07/04/2017,Twenty Two Motors,Technology,Smart Scooter manufacturer,Gurgaon,"Ishwar Singh,Farhaan Shabbir",Seed Funding,,,586372,13154996,336,3601,1070012,16.7,96.3,2.3,258394047,309197
874,07/04/2017,PharmEasy,eCommerce,Online Pharmacy,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,"1,80,00,000",,642119,7258281,37,3176,401913,-6.8,29.4,26.8,201811400,436064
875,08/04/2017,WonderChef,eCommerce,Online marketplace for kitchen products,Mumbai,Labruyere Eberl\\xc3\\xa9,Private Equity,,,3492922,15863243,442,2797,467026,-1.7%,119.3,-12.4,38093064,1280211
876,08/04/2017,FastFox,Consumer Internet,Online rental discovery platform,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,"46,00,000",,2532564,6030887,15,407,1672186,-13.1,28.0,65.8,229324646,1736344
877,10/04/2017,Omnify,Technology,SaaS platform for SMEs,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding,"1,50,000",,2708396,7320342,342,433,"1,041,521",24.0,108.4,10.5,31839670,1058134
878,10/04/2017,Capital Float,Consumer Internet,Online Lending Platform for SME,Bangalore,Mahindra and Mahindra Financial Services,Private Equity,"23,00,000",,3731036,4464978,128,3199,1844894,6.2,39.4,-35.3,191311271,413712
879,11/04/2017,Ninjacart,eCommerce,B2B agri-marketing platform,Bangalore,"Accel Partners, Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,"55,00,000",,2750373,5403384,449,2375,1124322,-60.0,22.2,27.6%,31484801,783900
880,11/04/2017,MergerWare,Technology,Software solutions for M&As,Bangalore,Philippe Bouchet,Seed Funding,"1,00,000",,3157458,14152002,366,,1326854,21.6,105.5,65.5%,188213419,1192706
881,11/04/2017,Sports Flashes,Consumer Internet,Online Sports portal & Mobile app,New Delhi,"Sushil Kumar, Sandeep Singh",Seed Funding,,,448401,9477568,404,194,681002,31.5,38.4,-45.9,,1464652
882,12/04/2017,Clovia,eCommerce,Online lingerie & Sleepwear etailer,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,"40,00,000",,4258632,13216030,,971,59898,-4.2,72.9%,27.9,169329276,205466
883,12/04/2017,Emiza,Logistics,Third Party Logistics provider,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,"45,00,000",,2254928,1665210,285,,1011892,21.6%,102.7,-14.7%,167152296,485502
884,12/04/2017,HackerEarth,Consumer Internet,Online Skill Assessment Platform,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,"45,00,000",,792960,10756332,432,4896,1460573,7.8,35.5,8.6,"368,966,291",378563
885,12/04/2017,Squadrun,Technology,Software-As-a-Service Platform,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,"21,00,000",,4070375,9227048,152,,812164,-30.4,94.1,-22.7,488996679,
886,12/04/2017,Tinmen,Consumer Internet,Food Delivery Platform,Hyderabad,"MAPE Advisory Group, R Ramaraj, Corvus Ventures",Seed Funding,,,3678413,18224415,266,113,1720134,51.1%,73.2,31.3%,130659405,561816
887,12/04/2017,ScoutMyTrip,Consumer Internet,Online Travel planner,Mumbai,Z Nation Lab,Seed Funding,,,284069,8527271,152,300,1395021,7.9,45.6%,2.0,,
888,13/04/2017,SafetyKart,eCommerce,Safety & Hygiene Products etailer,Gurgaon,Redcliffe Capital,Private Equity,,,981346,2152463,61,4397,,16.0,24.2,39.0%,17984246,266019
889,13/04/2017,WeAreHolidays,Consumer Internet,Travel Packages & Planner marketplace,Gurgaon,"Urrshila Kerkar,",Private Equity,"77,00,000",,98432,13973777,438,2523,1087828,-0.5,46.3,-15.7%,"198,684,211",241489
890,14/04/2017,Ola Cabs,Consumer Internet,Cab Aggregator App,Bangalore,SIMI Pacific Pte,Private Equity,"26,00,00,000",,,3078815,251,"2,509",,6.1%,62.5,4.8,248327718,235236
891,15/04/2017,Myly,Consumer Internet,Mobile App for Schools,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,"3,10,000",,517902,18190500,31,4809,1756164,15.2,56.8,-47.8,7454377,860174
892,17/04/2017,CrediHealth,Consumer Internet,Online Medical Assistance platform,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity,"15,00,000",,3555325,7730648,413,1277,119122,-8.9%,91.7,74.9,249839735,50309
